name,region,year,population,Deaths,income,lifeExpectancy
Greater London,Neoplasms,2010,3136.465539,138.7105867,161.2408607,2975.224696
Greater London,other conditions,2010,15307.56666,172.0161393,11076.06061,4231.50724
Greater London,Cardiovascular diseases,2011,2271.230428,121.9777694,265.5810413,2005.649415
Greater London,Neoplasms,2011,3036.733881,135.6379717,158.5443323,2878.189566
Greater London,other conditions,2011,15094.89871,166.917454,11079.49403,4015.405876
Greater London,Cardiovascular diseases,2012,2217.533903,120.711662,265.468846,1952.065086
Greater London,Neoplasms,2012,3003.057877,135.4672093,158.3826228,2844.675271
Greater London,other conditions,2012,14969.40157,166.34299,11087.50283,3881.899932
Greater London,Cardiovascular diseases,2013,2175.703432,119.5095229,265.455172,1910.248289
Greater London,Neoplasms,2013,2963.962725,134.6083646,159.8548459,2804.107896
Greater London,other conditions,2013,14872.23383,165.709523,11094.85677,3777.378257
Greater London,Cardiovascular diseases,2014,2140.151385,118.3480406,265.5800629,1874.571351
Greater London,Neoplasms,2014,2933.959439,134.1424419,160.6917752,2773.267682
Greater London,other conditions,2014,14813.15298,165.533285,11101.0278,3712.12638
Greater London,Cardiovascular diseases,2015,2190.227855,121.1044525,265.7898865,1924.437998
Greater London,Neoplasms,2015,2992.658422,137.2538974,163.9277466,2828.730693
Greater London,other conditions,2015,14901.93528,170.0998897,11101.531,3800.405482
Greater London,Cardiovascular diseases,2016,2110.82921,115.8034726,267.6235797,1843.205659
Greater London,Neoplasms,2016,2909.85866,133.6218175,162.0995397,2747.759138
Greater London,other conditions,2016,14793.98977,165.0662178,11108.97702,3685.013955
Greater London,Cardiovascular diseases,2017,2087.436904,113.9217699,269.4379055,1817.999028
Greater London,Neoplasms,2017,2888.930978,132.6563426,161.3099515,2727.621044
Greater London,other conditions,2017,14764.67637,163.441267,11116.29059,3648.386982
Greater London,Cardiovascular diseases,2018,2104.934796,115.2676468,269.4677836,1835.467042
Greater London,Neoplasms,2018,2902.12469,133.2301618,161.7895407,2740.335167
Greater London,other conditions,2018,14808.59925,163.9939607,11142.916,3665.684458
Greater London,Cardiovascular diseases,2019,2097.931561,114.79665,268.904022,1829.027568
Greater London,Neoplasms,2019,2894.468463,132.5984763,161.385594,2733.082886
Greater London,other conditions,2019,14842.4646,162.6789018,11213.95792,3628.507888
North East England,Cardiovascular diseases,1990,6596.455992,353.7504985,341.4349296,6255.021099
North East England,Neoplasms,1990,5069.828581,214.872347,149.3411455,4920.487452
North East England,other conditions,1990,17304.7892,228.2522899,11245.3888,6059.401618
North East England,Cardiovascular diseases,1991,6462.526727,348.841675,336.2566781,6126.270085
North East England,Neoplasms,1991,5041.020006,214.352244,151.3420223,4889.678
North East England,other conditions,1991,17295.32154,229.1202377,11261.26483,6034.057922
North East England,Cardiovascular diseases,1992,6244.846954,338.5032416,331.3526686,5913.494321
North East England,Neoplasms,1992,4968.014599,212.2675695,152.439789,4815.574826
North East England,other conditions,1992,17096.70395,226.2367461,11275.00893,5821.696233
North East England,Cardiovascular diseases,1993,6091.458084,330.7331963,326.9974517,5764.460667
North East England,Neoplasms,1993,4935.408902,211.1914707,155.4190158,4779.989903
North East England,other conditions,1993,17078.38643,229.3982161,11288.77363,5789.614026
North East England,Cardiovascular diseases,1994,5743.324748,313.0414484,323.4403304,5419.884453
North East England,Neoplasms,1994,4785.932397,205.5158554,154.1709077,4631.761506
North East England,other conditions,1994,16984.10958,225.8476138,11301.91054,5682.200253
North East England,Cardiovascular diseases,1995,5514.606791,301.3263564,320.8851794,5193.721647
North East England,Neoplasms,1995,4683.762803,201.7666775,155.5930004,4528.16982
North East England,other conditions,1995,16922.19379,225.5803139,11306.14777,5616.047249
North East England,Cardiovascular diseases,1996,5369.889626,293.075269,318.9582958,5050.931365
North East England,Neoplasms,1996,4662.623012,200.8757822,157.179665,4505.443364
North East England,other conditions,1996,16958.89362,227.064883,11331.7604,5627.134448
North East England,Cardiovascular diseases,1997,5188.949774,283.2644425,317.1627691,4871.787039
North East England,Neoplasms,1997,4620.021281,199.088841,158.6113937,4461.409904
North East England,other conditions,1997,17002.86051,228.2793201,11368.33272,5634.529015
North East England,Cardiovascular diseases,1998,5072.248708,278.154925,315.3314659,4756.917277
North East England,Neoplasms,1998,4622.609231,199.6916,162.3290047,4460.280243
North East England,other conditions,1998,17101.40974,232.0613628,11410.29124,5691.11973
North East England,Cardiovascular diseases,1999,4846.121804,266.7190307,313.3785732,4532.743265
North East England,Neoplasms,1999,4530.164138,196.7826027,163.3878116,4366.776344
North East England,other conditions,1999,17091.22819,231.4713689,11446.18332,5645.046104
North East England,Cardiovascular diseases,2000,4537.229407,250.9314594,311.163881,4226.065559
North East England,Neoplasms,2000,4371.935388,190.5635277,162.7239069,4209.211499
North East England,other conditions,2000,16940.04841,225.3087105,11465.63876,5474.41089
North East England,Cardiovascular diseases,2001,4344.482897,241.0347663,307.5892178,4036.893712
North East England,Neoplasms,2001,4283.806944,187.4610415,163.4725489,4120.334413
North East England,other conditions,2001,16864.91081,220.3467592,11477.25279,5387.659259
North East England,Cardiovascular diseases,2002,4213.713848,235.2360947,302.3298597,3911.384021
North East England,Neoplasms,2002,4255.17663,187.2923242,165.9363028,4089.240345
North East England,other conditions,2002,16852.0781,220.7741966,11489.67294,5362.406399
North East England,Cardiovascular diseases,2003,4063.207959,227.0410942,296.4017263,3766.806265
North East England,Neoplasms,2003,4229.351484,186.713643,168.7459282,4060.605574
North East England,other conditions,2003,16873.3334,221.678647,11507.27138,5366.06326
North East England,Cardiovascular diseases,2004,3883.544357,216.4765398,290.9357488,3592.608639
North East England,Neoplasms,2004,4219.266601,186.607167,169.8142216,4049.452398
North East England,other conditions,2004,16867.80317,221.1196014,11516.50263,5351.301783
North East England,Cardiovascular diseases,2005,3567.132998,199.463312,286.977694,3280.155335
North East England,Neoplasms,2005,4022.992157,179.282091,167.1309003,3855.861274
North East England,other conditions,2005,16670.44841,214.2387329,11522.56308,5147.886574
North East England,Cardiovascular diseases,2006,3429.886289,190.4159003,284.2121444,3145.674175
North East England,Neoplasms,2006,4031.069005,179.2145596,169.9490198,3861.120003
North East England,other conditions,2006,16654.56006,213.4335237,11509.44833,5145.112976
North East England,Cardiovascular diseases,2007,3268.772794,180.7846516,281.6779436,2987.094881
North East England,Neoplasms,2007,3998.964111,178.021804,171.9898549,3826.974274
North East England,other conditions,2007,16562.79262,211.624441,11476.44818,5086.34568
North East England,Cardiovascular diseases,2008,3152.114645,173.5884992,279.5528128,2872.561863
North East England,Neoplasms,2008,3980.59991,177.6332812,176.4270071,3804.172922
North East England,other conditions,2008,16513.24411,211.6305395,11436.63528,5076.610069
North East England,Cardiovascular diseases,2009,2968.768077,162.5523614,278.0231905,2690.744916
North East England,Neoplasms,2009,3870.063493,173.0484226,175.7835783,3694.279934
North East England,other conditions,2009,16334.87709,206.1506732,11406.47425,4928.404069
North East England,Cardiovascular diseases,2010,2841.420923,155.6401355,277.1016269,2564.319326
North East England,Neoplasms,2010,3790.529612,169.9505858,175.9192301,3614.610401
North East England,other conditions,2010,16178.99769,203.1383631,11399.35807,4779.640846
North East England,Cardiovascular diseases,2011,2780.029651,153.1073808,276.590608,2503.439072
North East England,Neoplasms,2011,3803.163234,171.5825153,176.6020842,3626.561169
North East England,other conditions,2011,16146.88238,204.8303313,11409.78423,4737.099388
North East England,Cardiovascular diseases,2012,2673.348376,148.9388841,276.2167339,2397.131672
North East England,Neoplasms,2012,3718.343158,169.3345106,174.8155505,3543.527626
North East England,other conditions,2012,16027.59963,203.0927972,11422.10592,4605.49494
North East England,Cardiovascular diseases,2013,2655.738922,147.7976127,275.9370383,2379.801914
North East England,Neoplasms,2013,3739.471378,169.9860842,177.8304428,3561.640954
North East England,other conditions,2013,16101.95549,205.6431857,11431.32383,4670.632901
North East England,Cardiovascular diseases,2014,2674.565022,147.8173481,275.8621639,2398.702888
North East England,Neoplasms,2014,3804.72542,172.4579265,180.726798,3623.998641
North East England,other conditions,2014,16202.61984,209.1567355,11438.88614,4763.73493
North East England,Cardiovascular diseases,2015,2623.071193,145.3545653,275.9089378,2347.162285
North East England,Neoplasms,2015,3746.753715,170.7571117,180.4296228,3566.324112
North East England,other conditions,2015,16146.67863,208.61281,11441.96859,4704.711275
North East England,Cardiovascular diseases,2016,2612.996036,143.9957813,277.7679704,2335.228096
North East England,Neoplasms,2016,3748.424005,171.0055016,182.0099874,3566.414038
North East England,other conditions,2016,16153.73333,208.5067638,11450.96884,4702.765718
North East England,Cardiovascular diseases,2017,2630.130597,144.1808915,279.5378561,2350.592771
